,0
2844,0.6465346
3621,0.209218
2941,0.61246943
1842,0.21110433
3119,0.4037212
1502,0.70885164
2425,0.4869335
261,0.72055084
2498,0.5323293
3338,0.6937436
1464,0.79466546
3240,0.7059027
891,0.70950603
3322,0.38466865
1544,0.40787727
1090,0.75218165
3605,0.20246784
1912,0.62419677
3301,0.27050337
2825,0.6452663
870,0.8555879
3348,0.20187987
1042,0.7708355
2317,0.6644169
933,0.78217
3434,0.25453645
321,0.18813184
623,0.4201375
2857,0.57176685
481,0.31573042
1958,0.59706926
2229,0.57806116
6,0.8224018
2200,0.7588199
1555,0.8235803
346,0.86125404
1691,0.55828184
2418,0.5301246
1708,0.22407252
1707,0.83109653
1876,0.6299751
3616,0.5631109
168,0.73130155
1909,0.46906203
654,0.52255553
2029,0.36734113
3566,0.3253153
3357,0.65608996
1634,0.5453872
1620,0.68696815
602,0.68302953
3028,0.43341148
3310,0.5792541
2581,0.6422793
244,0.6036117
3375,0.33844814
1432,0.7889701
1979,0.33616015
1095,0.77893245
1253,0.7937519
1959,0.25488254
914,0.40734997
2189,0.5874045
3316,0.5433865
2280,0.59210163
1054,0.70510757
2616,0.6399033
1167,0.36496398
1586,0.7286086
1235,0.6740897
370,0.59498566
2002,0.58261675
30,0.27206582
216,0.5604255
407,0.62113726
3509,0.6081217
2898,0.4520642
2999,0.3699807
2888,0.41461423
424,0.53176254
325,0.8001246
2488,0.8476478
3588,0.6237582
70,0.22927374
1599,0.57500273
671,0.68875176
469,0.7571806
2973,0.24126855
1882,0.44145206
3354,0.5980769
3054,0.32286832
164,0.36518297
3481,0.2768281
981,0.35361177
445,0.807001
1349,0.7211641
880,0.44995064
371,0.3213579
194,0.13472721
210,0.25907573
1477,0.51586205
3686,0.642728
1089,0.21041934
1303,0.37432352
34,0.52491796
1795,0.33976883
1161,0.5870885
2088,0.62983024
1151,0.4780907
2939,0.7106704
1975,0.7397733
1373,0.5482624
490,0.3307649
1576,0.5988135
2391,0.22850807
3574,0.46573985
1233,0.7876388
2118,0.23107947
3019,0.33156562
1212,0.20278683
3241,0.23422585
1379,0.7734127
3192,0.6161329
499,0.23878811
3728,0.77201396
701,0.26342136
3037,0.26563764
940,0.83587164
2927,0.27343637
942,0.64269423
1741,0.6008503
3202,0.53415775
197,0.5394341
1916,0.65032
583,0.62818336
2339,0.66363007
2670,0.19940288
3021,0.7617059
838,0.62907183
577,0.20469601
2938,0.58306974
2565,0.23719427
2107,0.7158554
3614,0.78674847
3366,0.34151748
3347,0.26060537
1165,0.6127407
3048,0.22107516
2037,0.42687398
3381,0.25134665
915,0.5160191
3160,0.8404042
3530,0.6638862
266,0.2154504
2838,0.6966544
877,0.33220485
533,0.42084014
3100,0.25845075
154,0.8118721
879,0.44026303
2155,0.23822123
2422,0.23846924
454,0.8018236
3056,0.3316181
3393,0.25332186
1099,0.2921523
828,0.7891986
1360,0.54824054
2149,0.61217695
1866,0.51165915
27,0.6571973
1727,0.66769594
597,0.7411287
2258,0.505314
1921,0.604476
1188,0.66724145
1048,0.805195
404,0.3258071
2285,0.3008824
377,0.42716464
2624,0.78258955
1839,0.21820985
3251,0.2316451
1491,0.36510473
2225,0.36405802
1700,0.71260417
3326,0.5135173
1387,0.8778952
549,0.64625794
2552,0.65105826
824,0.2563842
2903,0.51348233
2098,0.5420296
2951,0.46016058
1061,0.7969217
1453,0.2340375
3231,0.5079478
2263,0.7042606
1224,0.71093756
3195,0.59105736
3442,0.5939268
448,0.6441394
1177,0.8537138
1511,0.20724496
3045,0.47091332
3564,0.22339411
3038,0.83079445
1893,0.7440128
140,0.80587673
398,0.8198874
222,0.5230046
302,0.6155344
87,0.4488196
3204,0.19493362
719,0.5658269
76,0.39462402
2472,0.6331551
626,0.6664225
3640,0.5732095
2732,0.7820228
2582,0.56453484
3659,0.24542134
2820,0.4551678
2665,0.3194982
3002,0.7919597
3689,0.29899353
3282,0.20660819
3132,0.33479482
1589,0.57776266
211,0.39192528
2305,0.5047575
3399,0.62096643
1417,0.7300491
2497,0.41681448
1503,0.68626577
3570,0.21843687
2405,0.5902636
532,0.7795775
2715,0.41425332
1698,0.29822522
1752,0.24745286
265,0.35337597
2713,0.2604272
1243,0.73396486
2905,0.9011644
1032,0.3582059
1821,0.26465613
749,0.28687802
3169,0.37459752
157,0.48863932
3450,0.29411763
458,0.6358903
2113,0.49135724
1009,0.26423758
3424,0.28813684
2310,0.71338636
2453,0.82452536
800,0.64225614
1798,0.77341706
2586,0.28328806
58,0.75047463
1746,0.6434434
3655,0.43162218
3112,0.25139588
228,0.61893684
1679,0.7838389
1354,0.70643145
3699,0.3719322
1726,0.82854944
1969,0.23667787
1480,0.21819668
3370,0.7001466
3403,0.4903217
1081,0.46090224
3645,0.7861384
1455,0.7029947
1088,0.6881347
2513,0.48429033
2244,0.4646486
2047,0.64370376
1913,0.5639229
785,0.22169934
3598,0.7123951
710,0.82363635
1206,0.19716942
2196,0.44221583
692,0.60345393
2948,0.3404912
3595,0.3394516
811,0.57268333
1193,0.17028424
3607,0.64688826
1972,0.65454334
1914,0.26998794
3104,0.5820596
3036,0.24522719
3377,0.23742315
317,0.51896006
3534,0.6817035
3378,0.7272677
3253,0.32758504
528,0.15503159
2458,0.65255684
263,0.19150066
1047,0.2501647
322,0.22693159
2012,0.63598794
3471,0.8168884
869,0.2913022
2354,0.24393566
1465,0.3260049
841,0.66948265
2864,0.22449684
1940,0.21206269
246,0.19564901
3513,0.7062907
1059,0.53429383
3175,0.69796884
2723,0.4806661
2934,0.59535533
820,0.5414337
3665,0.6274443
1970,0.7647292
2919,0.6564444
3672,0.18294944
2207,0.19630301
911,0.43410614
1489,0.6264212
2698,0.55956006
3705,0.32936797
2672,0.75859064
3236,0.29935536
2171,0.5221044
1637,0.20655367
2953,0.19699389
821,0.7423583
2601,0.68719745
3116,0.64969504
849,0.20377928
1120,0.73689264
2639,0.37610263
3123,0.71201676
3156,0.6142941
188,0.6541243
2816,0.6966896
912,0.47483796
1954,0.33975336
2186,0.6241066
3500,0.2551363
1174,0.58339083
976,0.35050005
2797,0.31887677
1757,0.43123424
493,0.8417043
2426,0.24124828
1721,0.6469114
1412,0.7718506
1386,0.54098356
1325,0.7606885
1911,0.44560084
108,0.2517958
1790,0.29552162
3248,0.7590983
2471,0.7034973
1885,0.2824416
1343,0.7671115
2387,0.41026965
2150,0.44628593
3184,0.60261637
2403,0.46084294
269,0.23061617
1501,0.46907693
3737,0.4166966
697,0.32924572
2132,0.6804633
2036,0.22904225
1663,0.5191493
1584,0.70188415
3444,0.5821158
967,0.21185848
1169,0.841246
2823,0.22895817
1710,0.6705006
2792,0.66409767
1420,0.6994034
3046,0.26202095
3522,0.6994947
2931,0.36356175
3276,0.2717174
3660,0.37622994
1014,0.66291803
1065,0.63645685
2116,0.31513113
2771,0.2751748
2985,0.7042565
2962,0.25119042
3039,0.71376395
1646,0.50423586
2194,0.1664743
3603,0.20594415
1344,0.78699803
389,0.63052076
2871,0.26588696
2121,0.6254389
1037,0.76839775
231,0.7609845
1615,0.31039008
1053,0.1857772
768,0.21665554
1639,0.6121663
1328,0.52417827
2462,0.6283278
2216,0.62478364
2930,0.41418037
3539,0.71333694
3476,0.63668656
3027,0.20785873
3188,0.60512745
1890,0.4293854
3250,0.6573734
170,0.1976006
2509,0.6440874
1301,0.7186315
1277,0.70823056
711,0.27392384
2621,0.46106854
973,0.24704248
332,0.45846662
2434,0.6790332
1602,0.2536822
3181,0.63659924
414,0.72706807
1496,0.8175329
2381,0.25712478
1130,0.6936539
2099,0.3869829
536,0.6648603
2563,0.6248905
1476,0.24975699
1376,0.32708362
2430,0.61557543
2032,0.5732652
1406,0.76794285
2548,0.70321804
1273,0.6250139
3089,0.66076297
57,0.24869905
2986,0.30163372
3001,0.4974745
546,0.46924818
2872,0.659365
2348,0.47794
3174,0.2472832
2404,0.6216687
2891,0.49495196
517,0.46009383
2638,0.559809
696,0.5892739
3528,0.20801699
617,0.2304975
1260,0.51759
1341,0.25833562
3547,0.5691434
2690,0.6668968
1092,0.30258957
2644,0.56050426
2062,0.24781795
1659,0.34119445
3278,0.71929306
471,0.77406335
2896,0.6229891
3573,0.5290199
2510,0.7663574
2885,0.7117684
581,0.7726109
2729,0.72016466
2013,0.6023112
3585,0.72952676
1540,0.6771895
2201,0.2736814
91,0.7714132
1482,0.48592508
1903,0.8638347
1598,0.59532917
2518,0.5761083
3556,0.3529897
3155,0.65303475
1571,0.40874028
1423,0.22634563
1734,0.7344637
3016,0.505629
2863,0.2866816
2016,0.7830549
3451,0.24773818
2925,0.24250026
1623,0.60002154
1754,0.742893
120,0.30339104
871,0.39620537
3590,0.41503805
989,0.70486504
1891,0.28744718
1259,0.66294205
511,0.52113825
2336,0.46814668
2298,0.52550304
2269,0.2917113
373,0.6534439
356,0.26102343
2574,0.5352565
1170,0.3454758
2134,0.5100578
3022,0.5919564
3712,0.2427933
2963,0.42021292
1793,0.24806383
1297,0.65047675
3589,0.49427465
1460,0.5168647
3154,0.45444235
1263,0.6343828
1368,0.63411987
3502,0.49948508
2719,0.6111759
339,0.48532197
2135,0.4182516
2287,0.68839735
209,0.1351687
2030,0.6685429
2830,0.37984452
3,0.2586593
3191,0.7514655
0,0.51080954
3088,0.77585393
636,0.72134596
2473,0.1992174
808,0.4356903
934,0.33907998
2520,0.19851957
1365,0.24206688
901,0.68424076
2251,0.6360656
1783,0.74131674
3593,0.6690929
3540,0.6417001
1155,0.88139814
1847,0.6711378
25,0.86060244
2679,0.33360556
347,0.71912247
2365,0.51953703
2696,0.29973632
997,0.7793455
1945,0.26928988
160,0.25073195
3024,0.71958846
3642,0.20758386
3165,0.22610842
183,0.6453805
805,0.70342505
3420,0.23981923
3257,0.26194093
1111,0.5734556
3611,0.56870884
2192,0.25103024
1105,0.78873056
3468,0.83400035
2337,0.48231506
852,0.2436175
1776,0.61939245
2564,0.40183893
22,0.22579375
2217,0.6083026
1561,0.5681352
1627,0.7317743
134,0.2881312
2845,0.5896157
3335,0.6050288
1770,0.29189992
584,0.53232723
2940,0.59141403
3701,0.7453935
2208,0.77761555
1462,0.4430768
229,0.36122733
2842,0.61141527
3229,0.7203884
2360,0.2892891
1020,0.24249564
3478,0.6173585
2159,0.37200695
1806,0.64931697
2849,0.41954792
3207,0.817661
709,0.778588
2765,0.6547869
1409,0.7438789
3602,0.57960033
620,0.8293363
611,0.23852532
409,0.27135277
1622,0.59541917
3247,0.6741064
1978,0.66402423
1777,0.4732312
2312,0.7685158
1816,0.67432225
1567,0.60125536
1352,0.38988963
2054,0.2290995
1407,0.21495748
781,0.66609186
3230,0.6862664
3131,0.6970038
1529,0.6182176
334,0.24433611
3150,0.49241763
2249,0.30814594
588,0.21808651
1543,0.6751309
551,0.4983827
1123,0.7068877
977,0.55655235
3200,0.16685182
563,0.19851166
2272,0.7115792
1533,0.88275796
2415,0.6506657
2936,0.75458544
3359,0.6925034
1281,0.52683794
1736,0.85948485
240,0.8544788
3079,0.3464245
1585,0.7684067
1860,0.2788682
2228,0.8601403
296,0.3662273
148,0.29812515
544,0.54829544
3745,0.76885676
198,0.65104765
3353,0.54760456
1364,0.45843136
632,0.48678905
685,0.5494691
2895,0.8409815
1052,0.30490053
3311,0.7290886
640,0.3724006
1621,0.19518822
208,0.69509584
628,0.27352685
1411,0.46621934
126,0.654529
2971,0.68562454
3239,0.6614341
1732,0.36040092
695,0.5729061
392,0.28460127
1115,0.69490576
1638,0.4458131
2109,0.5961716
505,0.65663105
2803,0.26033548
630,0.64779896
1668,0.6994799
1635,0.8628485
2536,0.23474912
2193,0.44995093
540,0.4156777
3346,0.76466084
312,0.60823035
124,0.61532944
3524,0.74638206
1218,0.58984995
2316,0.57094485
166,0.32174113
1275,0.4731364
661,0.4116162
350,0.21673432
2241,0.77724963
1834,0.8583036
2049,0.7309177
3531,0.8734323
3414,0.6799581
2173,0.35723686
2725,0.25826898
1031,0.65229046
2078,0.38224635
1483,0.49401197
2181,0.59134966
1204,0.58090013
1011,0.6838221
1327,0.34289837
1369,0.4322693
857,0.46186215
971,0.2321396
1098,0.46465817
1312,0.7164181
1136,0.6394494
1967,0.5150271
2011,0.5220269
2343,0.64006746
2753,0.7096494
86,0.5499599
840,0.9043355
3176,0.26823437
2868,0.7783674
2757,0.7121491
2123,0.23823546
1371,0.8456057
2199,0.49033293
50,0.65241295
3523,0.623825
603,0.61237264
2535,0.63091236
1731,0.6585882
1643,0.80289036
1650,0.69946545
2406,0.20596996
1687,0.3391366
3691,0.34867603
1671,0.2709095
3638,0.38217565
3206,0.5298514
2119,0.1597889
116,0.44841337
123,0.31547725
2809,0.25134122
2246,0.5635349
845,0.23792726
2718,0.65613735
958,0.639554
2141,0.51023674
150,0.23879601
2075,0.39606553
3677,0.58632064
3600,0.68753994
1035,0.29223055
179,0.32602313
1767,0.28583062
1209,0.18951899
3234,0.3018952
867,0.20416482
2750,0.61517406
2275,0.54054666
2445,0.44040447
2540,0.2773629
1153,0.63824946
2554,0.6365872
1171,0.69900733
1036,0.32061967
3007,0.3928847
3410,0.74114996
3738,0.5947923
670,0.61152625
235,0.36714402
3739,0.59272254
2226,0.3042638
2033,0.24886517
3517,0.5929048
1493,0.24986114
604,0.70209014
3263,0.6551797
3690,0.6672318
65,0.42745167
1652,0.6477916
1604,0.4136313
1326,0.76248497
1769,0.38470024
264,0.2800181
2882,0.6449704
3720,0.5635109
3187,0.5476943
5,0.33390972
593,0.27735114
2802,0.49563485
3488,0.29291052
2824,0.1735985
2932,0.38731867
894,0.43898425
908,0.91740245
1026,0.19136177
111,0.37775218
1957,0.71764284
308,0.19871381
2195,0.25124073
2784,0.46796033
1934,0.26163584
1197,0.7001411
2730,0.61901796
1097,0.27358976
472,0.6969971
361,0.28835934
2859,0.6857977
2506,0.4280821
3249,0.53309834
41,0.22133894
1127,0.61630183
252,0.23119074
3627,0.69657385
2286,0.5662099
2004,0.49768937
301,0.2327253
1440,0.6468367
2544,0.6015084
2889,0.26378816
1562,0.61286616
2911,0.21867214
2645,0.4197308
1863,0.22465722
1610,0.21633233
2112,0.21033417
3350,0.64493376
2671,0.7274302
1799,0.4462778
1244,0.30003154
456,0.7873476
156,0.37711108
966,0.15564558
1300,0.8700416
406,0.44646493
1400,0.3970433
1879,0.6322281
2642,0.20450465
3145,0.80025375
410,0.86099684
3533,0.8364773
1109,0.5521303
980,0.7278016
3552,0.8301516
459,0.77905047
1500,0.46530202
1293,0.6435465
103,0.8332015
895,0.18825924
822,0.3923879
2937,0.8493584
3297,0.61346304
1041,0.64218515
412,0.35924003
652,0.6724171
340,0.49194768
1227,0.25360936
1943,0.7502653
2584,0.3785698
3157,0.32605997
2038,0.48920092
2214,0.48395282
1955,0.68446547
1403,0.44816306
2702,0.7843464
16,0.62316906
3285,0.68964535
443,0.22544686
2000,0.27545357
2007,0.7296505
1735,0.610725
885,0.82837087
2169,0.47687224
2145,0.32336292
2979,0.34028113
1729,0.6567704
1656,0.61197865
270,0.6873749
2319,0.6433611
586,0.88427526
362,0.60678154
3026,0.6156773
1938,0.4650314
2907,0.69443613
3577,0.38624558
3669,0.7109292
1083,0.19435848
1000,0.34259918
837,0.26546815
3733,0.3875805
3747,0.18758512
1546,0.34616682
212,0.2670069
131,0.7956002
2662,0.6948956
2687,0.22262195
1833,0.24081488
3652,0.5100816
3725,0.6688945
729,0.6829182
2419,0.6201843
1075,0.7224621
2720,0.58046204
2992,0.3416091
558,0.4168627
2756,0.460435
3179,0.533894
2341,0.9417539
2021,0.8555268
181,0.5259244
991,0.20316313
1605,0.5639682
814,0.54242855
1785,0.19649497
1367,0.5610356
303,0.70723385
3020,0.24044049
3426,0.67594516
2650,0.7173133
1162,0.2111724
2572,0.58257896
391,0.8541253
972,0.20862664
2046,0.6072946
83,0.6840361
1690,0.50640416
73,0.5726225
1055,0.20924373
2717,0.24517323
2760,0.3533145
82,0.56585836
2223,0.24881156
2996,0.51978004
2395,0.30954486
3035,0.4717997
2984,0.2257708
963,0.67507803
1361,0.59546775
573,0.62163365
928,0.32629573
