,Activity
1814,1
3716,0
1401,1
2591,0
1578,1
925,1
951,1
2411,1
2292,0
787,0
854,0
2382,1
3475,0
2600,0
3011,0
1832,1
3479,0
1124,0
2597,1
1030,1
2233,1
1318,1
56,0
844,1
3261,0
771,0
2303,0
1353,1
2283,0
3208,0
3328,1
1811,1
338,0
1428,1
2869,0
3578,0
315,1
207,1
1442,0
3624,0
1381,1
1034,0
2633,1
905,1
178,0
1006,0
608,0
1,1
3203,0
1640,0
3719,1
1422,0
648,1
1002,1
3560,1
187,1
3542,1
2279,1
1310,1
1612,0
774,0
1272,0
2906,1
1716,1
2768,1
1249,0
352,0
564,1
386,0
2234,0
2399,1
2027,1
1513,0
2975,0
2807,1
2300,0
2487,1
1658,1
678,1
74,1
598,1
1725,0
316,0
937,0
1468,0
1454,1
1147,1
1306,1
2579,0
2530,1
3025,0
1845,0
1267,1
1285,0
1472,1
3214,0
286,1
955,1
152,1
2693,0
761,1
477,1
984,0
262,1
429,1
2014,1
2297,0
3692,1
3497,0
19,0
3563,0
3302,0
806,0
1509,1
2035,1
342,1
353,1
15,1
3368,1
2964,0
842,1
2703,0
3724,1
51,1
2562,0
1497,1
831,1
1323,1
2735,0
2239,1
1855,0
2090,1
3469,1
1905,0
3421,1
1383,1
2031,1
3137,0
430,1
75,1
638,0
2504,0
2095,0
155,0
2400,1
3225,0
1867,1
2042,0
694,1
813,1
2167,1
3309,1
2468,1
158,0
746,0
189,0
3402,0
956,0
2101,1
2764,0
3109,1
2636,0
1225,1
3550,0
3709,1
2681,0
64,0
1801,1
3086,0
523,0
954,1
2943,0
1214,1
1418,1
1384,0
2806,1
2791,1
886,1
839,1
1238,0
2626,1
587,1
63,0
2589,1
2402,0
1121,0
1307,1
677,1
1021,1
1320,1
2831,0
2143,0
442,1
1554,1
2020,1
2211,0
2867,1
1421,0
1760,1
1219,0
1071,0
3077,0
132,1
3493,0
1608,0
143,1
2977,0
2080,1
3390,0
3246,0
3047,1
380,0
801,0
2362,0
3510,1
2407,1
254,1
720,0
1278,0
919,0
1017,0
2178,1
7,1
1877,1
2164,1
3489,1
978,0
1570,0
1262,0
2126,0
1763,1
1388,0
1140,0
2371,1
1682,1
1463,0
548,1
924,0
2221,0
547,1
2115,1
3459,1
3458,1
3171,1
1689,0
2656,0
3608,1
1247,0
2158,0
237,0
2299,1
3446,0
747,0
95,1
3139,0
45,1
727,1
3405,1
2006,1
3646,0
897,1
952,0
817,1
190,1
2531,0
1751,1
1018,1
2262,0
2254,0
1704,0
2139,1
1939,0
2829,1
1436,1
762,0
502,0
2416,1
3060,0
585,1
3447,0
2731,1
3290,0
423,1
2057,1
3663,1
2569,0
2697,0
3238,1
3307,0
2928,0
1266,1
3634,0
2344,1
3581,1
2005,1
3684,0
3460,1
2516,1
2327,1
1474,0
1870,1
539,0
1284,0
3631,0
2222,1
945,0
574,0
118,1
786,1
1226,1
3483,0
2576,0
2138,0
109,1
3085,0
783,1
1951,0
3151,0
2449,1
2206,1
2493,0
3221,1
3395,0
1118,0
2811,1
214,1
778,1
1550,0
3352,1
309,1
1160,0
3162,0
218,1
428,1
3518,1
712,1
2659,1
2840,0
8,1
3186,1
1661,1
1220,1
2708,0
595,0
2933,0
1471,1
2852,0
3158,1
516,1
1587,0
2901,1
2015,0
2320,1
3189,1
1662,1
2187,0
1873,0
1216,1
1805,1
1332,1
674,1
819,1
431,1
3433,0
1068,1
1773,1
2758,0
313,0
2870,0
2514,1
3422,1
60,0
2795,1
1962,1
682,0
2324,1
1907,1
3457,0
2290,1
1152,0
889,0
944,1
2056,1
1335,0
1861,1
644,0
3527,1
1886,1
526,1
506,1
1230,0
3654,1
716,1
2023,0
1841,0
2318,0
1016,1
1968,1
54,1
2588,1
49,0
766,0
3083,0
2237,1
2156,0
2585,1
809,1
3091,1
2070,1
376,1
736,1
3710,0
594,0
348,0
2253,1
93,1
1248,1
3482,1
3599,1
3153,0
2958,1
3125,0
1681,1
2494,0
2846,1
135,0
2615,1
3071,1
935,0
1714,0
3419,1
3152,1
777,0
1134,1
1678,1
3727,0
1664,0
707,1
560,1
653,0
2647,1
2990,1
1270,1
3505,0
417,1
2517,1
1878,0
986,0
2385,1
3167,1
130,0
847,0
1149,0
24,0
2631,0
2439,0
2390,1
1804,0
1889,0
1527,1
2454,0
2203,0
3648,0
2832,1
2342,1
1022,0
872,1
1566,1
2677,0
3551,0
225,0
2022,0
1469,1
1461,0
1056,1
3034,0
2890,1
2227,1
947,1
1908,1
2058,1
354,1
67,1
1697,0
721,0
145,1
415,0
2440,0
1530,1
2571,1
3682,0
171,0
2485,1
726,1
1895,1
55,1
138,0
3384,0
2243,1
449,0
1997,0
2594,1
988,1
969,1
136,0
2486,1
1896,1
174,1
2302,1
1965,1
385,1
1724,1
3428,0
444,0
1101,1
3473,0
2759,1
1827,1
3649,1
1883,0
1289,1
1581,1
89,0
3304,0
2886,1
1305,0
2100,1
2048,1
2177,1
2661,0
1029,0
1329,1
39,1
1012,0
943,0
665,0
2894,0
452,0
780,0
3731,0
1148,0
177,1
2184,1
336,0
1918,0
2166,0
3721,1
1556,1
3609,1
1600,0
1641,1
351,0
624,1
2240,0
3136,1
3087,0
1551,0
2183,1
3196,1
2508,0
2089,0
723,1
698,0
2684,0
358,1
3583,1
1321,0
1613,0
2780,1
3386,0
3198,0
2606,1
1525,1
2861,0
618,1
465,0
1434,1
3521,1
3417,1
1419,1
3748,0
1702,1
2127,1
1987,1
2649,0
491,1
3584,1
2575,0
1765,1
3031,0
3571,0
2989,0
2414,1
1788,1
3668,1
2669,0
1481,0
3392,1
1135,0
1935,1
2961,0
1580,0
479,0
2265,0
2637,1
102,0
1478,0
2711,1
742,0
3260,0
3626,1
53,0
987,0
3380,0
68,0
3465,0
717,0
1100,1
2774,0
333,1
3013,0
1391,0
2834,1
1239,1
784,1
1173,1
1158,0
1315,0
1137,1
2593,1
2706,1
127,0
1583,1
1974,0
2537,0
2467,1
1261,0
3194,0
2507,1
1106,1
950,1
2817,0
2122,1
1129,1
3619,1
1558,0
461,1
2432,0
639,1
2503,1
2566,0
757,1
3308,0
929,0
230,0
2460,1
1319,0
555,1
543,1
3177,0
3099,0
2995,0
3185,1
98,1
1430,0
1250,1
2692,1
1887,0
1899,0
1005,1
2444,1
1470,1
2712,0
3111,1
3082,0
2819,0
3199,1
2060,1
2309,1
294,1
2769,0
2998,1
3339,1
3484,0
3736,0
2353,1
159,1
1236,1
650,1
3413,1
2742,1
909,1
3519,1
2431,0
2916,1
3268,0
1557,0
320,1
14,1
975,1
3062,0
1446,1
462,1
3676,0
1692,1
1719,1
643,1
619,1
651,1
253,0
1881,1
873,0
466,0
753,1
3258,1
941,0
882,1
291,1
233,1
2789,1
3675,0
3061,0
1304,0
1766,1
1518,0
2271,1
3244,0
2097,0
2833,1
2417,1
2025,0
1485,1
1241,0
534,1
2676,1
2976,1
2628,0
525,0
1425,0
1080,1
2447,1
3351,1
2875,1
589,1
673,1
3164,0
2154,1
1346,0
1375,1
835,1
251,1
666,1
2209,0
1871,0
390,1
1467,1
3178,1
1362,1
794,0
1984,1
1933,0
2104,1
2716,1
681,1
2851,0
1205,0
1077,0
3615,0
2394,0
151,1
1524,0
3462,0
827,1
1254,0
524,1
1265,1
2069,1
405,1
257,1
3546,0
2748,0
2436,1
185,1
2091,1
473,0
2900,0
812,1
2388,1
1166,0
3180,1
364,1
3666,0
1858,0
3008,1
2620,1
1350,0
2363,0
329,0
512,1
662,0
345,0
1603,0
832,1
683,0
3382,0
1676,0
3050,1
3680,0
772,0
66,0
1950,1
3548,1
2980,1
1715,1
3673,0
2420,1
2691,0
234,0
2856,0
645,1
2465,1
2347,0
1666,1
1822,0
2077,1
1138,0
541,1
1313,1
3704,0
200,1
1963,1
1295,0
2361,0
306,0
2988,0
1308,0
129,1
395,0
3579,1
1929,1
326,1
191,1
722,0
1854,1
307,0
1064,1
1397,1
3041,0
2968,1
495,1
3080,1
2915,0
384,0
3411,0
2700,1
582,1
397,0
3662,0
2994,0
3215,1
3707,1
2772,1
2580,1
2810,0
1629,1
161,0
1334,1
3404,1
1103,1
936,1
1039,1
1366,0
3121,1
1274,0
3436,1
1926,0
1949,1
2068,1
569,1
1159,1
1560,0
1591,0
2701,1
2744,0
1880,1
2529,0
2081,1
3182,1
3097,1
47,1
29,1
1595,1
3053,0
1925,1
501,0
1846,1
2501,0
3445,0
1185,1
1268,0
2558,0
1856,1
2578,0
1862,0
1794,1
3305,1
2970,0
2549,1
432,0
2301,1
996,0
3567,0
3485,1
3363,1
2827,1
366,0
1076,1
1078,1
2728,1
260,1
2860,1
2783,0
3096,0
2346,1
556,0
2623,1
2066,0
572,0
3639,1
2273,1
599,1
3323,1
2041,1
419,1
2136,0
1302,0
1246,0
1232,0
1448,0
2266,1
2355,0
2204,1
1812,1
2219,0
1466,0
275,1
705,1
2334,1
3138,0
453,0
113,1
71,0
2028,0
2130,1
3228,1
2926,1
3664,0
2063,0
1825,0
2583,0
2289,1
918,1
451,0
3272,0
2452,0
2695,1
1514,0
2392,1
1565,1
739,1
2412,1
1653,1
104,0
1857,1
3525,1
3604,0
3401,0
2709,1
241,0
2478,1
2862,0
3275,0
1988,1
1569,0
1619,1
2678,1
96,1
2515,1
1190,1
84,1
2749,1
1718,0
9,0
2652,0
878,0
1339,1
773,1
1385,0
3210,0
276,1
1408,0
1592,0
1372,0
88,1
90,1
2813,0
280,0
3055,1
1906,1
2699,1
1484,0
3408,1
1823,1
1324,0
3274,1
1426,0
992,0
365,1
2071,0
676,1
2026,0
998,0
1189,0
2358,0
3108,0
2688,1
1759,1
2288,1
2714,1
1342,0
94,1
1286,1
2146,0
167,1
496,0
1749,0
2323,0
3161,0
714,1
1539,0
2815,1
331,1
219,1
2481,0
3667,0
3463,0
2534,1
1537,0
531,0
1864,1
3491,1
2308,0
1980,1
2858,0
305,0
3439,1
1649,1
196,1
1164,1
1618,1
1146,0
494,0
110,0
1108,1
1269,1
2561,1
2739,0
369,1
793,1
3146,1
3364,1
926,1
2321,1
1815,1
396,0
1178,0
2837,0
1215,0
797,1
1298,0
3259,0
3122,1
1062,1
3009,1
418,1
3280,0
375,0
2511,1
470,1
1541,1
3147,0
3320,1
2607,0
2350,0
2630,0
3317,1
3702,1
1761,1
798,0
2059,0
3441,1
1486,1
538,1
2675,0
2329,1
3325,1
983,1
480,1
1479,0
223,1
672,1
3291,0
3014,1
1393,0
3197,0
3141,1
3729,0
994,0
580,0
1045,0
77,1
2595,0
3744,0
2796,0
1758,1
826,0
125,1
1252,1
2805,0
3114,1
1960,0
3461,1
1596,0
576,1
1575,1
621,0
767,1
1229,1
1340,0
659,0
3078,1
3565,1
2850,1
3606,1
2892,1
1517,0
3448,1
3714,1
3477,1
259,1
282,1
2682,0
1614,1
1184,0
1973,1
2522,0
455,0
2368,0
434,1
2935,0
299,1
1762,1
2484,0
3580,0
1932,0
438,1
2373,0
2024,0
2451,0
3337,0
2612,1
1626,0
292,1
1837,1
278,1
655,1
1058,0
732,1
553,0
2142,1
3641,1
1900,1
3303,1
2293,0
2993,1
1191,0
1526,0
1995,0
1356,0
1694,0
775,1
426,1
1786,1
1186,0
2197,1
2274,0
865,1
3015,0
1709,0
3166,1
1792,1
1245,1
900,0
2747,1
1528,1
601,1
1291,1
3106,0
217,0
3144,0
2865,0
2268,1
213,0
35,1
2955,1
2442,0
367,1
2972,1
12,1
476,1
3415,0
3270,1
1720,0
2282,1
2743,1
3492,1
1084,1
3629,0
1632,1
13,1
3369,1
2111,1
2782,0
1023,0
964,0
607,1
2061,0
2887,1
435,1
17,1
2812,1
1782,0
1803,0
2396,1
2255,0
1114,0
3379,0
2389,0
3452,1
1953,0
344,1
3543,0
3554,1
3591,1
2599,1
2646,0
1717,0
32,0
372,1
657,1
2220,1
1086,0
3220,0
2456,1
3098,0
3656,1
2248,1
1316,1
860,1
1607,0
44,1
1534,1
3213,0
3594,0
3081,1
3409,0
3711,1
489,1
503,0
2260,1
133,1
2108,0
690,1
2074,1
2148,1
974,1
3749,1
776,0
788,1
2568,1
363,1
2357,1
795,1
1936,0
2876,0
1628,0
1276,1
2592,1
939,0
1505,1
2489,0
647,1
1003,1
2524,1
3094,1
2110,0
1172,1
483,1
3074,0
1810,0
3329,0
52,0
242,0
3245,0
2083,0
1985,1
1202,1
738,1
2168,0
3670,1
1299,0
1019,1
2092,0
3372,1
836,0
2124,1
1744,0
368,1
2954,0
3284,1
267,0
3383,1
728,1
2492,1
2551,0
1519,0
3105,1
1033,0
1712,1
3232,1
2333,0
295,1
1848,0
625,0
277,1
497,1
484,0
1520,0
182,0
970,0
1851,1
2224,1
684,0
1768,0
3717,0
2084,1
1180,1
2050,1
754,0
508,1
2545,0
2356,1
3361,0
1981,0
3632,1
1438,1
1445,0
141,1
3295,0
864,0
2231,1
2322,1
1010,1
2960,1
848,0
2559,1
2779,0
3044,0
1994,1
887,0
117,0
3073,0
2161,1
545,0
1789,1
2213,0
1976,1
2232,1
1983,1
1396,0
274,1
3049,1
704,0
1024,0
1590,1
1564,0
3572,0
1742,1
383,0
1429,0
2609,0
2910,0
3092,1
1829,0
176,0
1359,0
2427,1
3617,1
3243,1
3064,0
2567,0
830,1
2555,1
3224,1
1642,0
2461,0
1633,1
622,1
2920,0
3653,0
858,0
641,0
3388,0
2306,1
834,0
2710,0
1498,1
337,1
3610,1
3576,0
2446,1
1447,0
2653,1
1964,1
1684,1
2528,1
3494,1
1143,0
2965,0
3722,1
1705,1
3065,0
2923,0
1738,1
2707,0
3069,0
789,1
2304,1
968,1
3000,0
1667,1
3321,1
1688,0
1898,0
